"LearnDirectClassSystemCode","LearnDirectClassSystemCodeDesc","LearnDirectClassSystemCodeDesc2","EffectiveFrom","EffectiveTo"
"AK.2","Financial Management","Fin Mngm","26 Mar 2001",""
"AK.23","Financial Planning","Fin Plan","26 Mar 2001",""
"AK.231","Cash Flow Planning","Cash Flow Plan","26 Mar 2001",""
"AK.232","Financial Decision Making","Fin Decision Making","26 Mar 2001",""
"AK.24","Resource Management","Res Mngm","26 Mar 2001",""
"AK.25","Financial Analysis","Fin Anlys","26 Mar 2001",""
"AK.251","Financial Modelling","Fin Modelling","26 Mar 2001",""
"AK.3","Financial Control","Fin Cont","26 Mar 2001",""
"AK.32","Budgetary Control","Budgetary Cont","26 Mar 2001",""
"AK.33","Cost Management","Cost Mngm","26 Mar 2001",""
"AK.4","Credit Management","Cred Mngm","26 Mar 2001",""
"AK.42","Debt Collection","Debt Coll","26 Mar 2001",""
"AK.43","Credit Control","Cred Cont","26 Mar 2001",""
"AK.5","Finance Raising","Fin Rais","26 Mar 2001",""
"AK.51","Asset Financing","Asset Financing","26 Mar 2001",""
"AK.52","Bank Loans","Bank Loans","26 Mar 2001",""
"AK.53","Leasing (Business)","Leasing (Bus)","26 Mar 2001",""
"AK.54","Mortgaging (Business)","Mortgaging (Bus)","26 Mar 2001",""
"AK.55","Venture Capital","Venture Capital","26 Mar 2001",""
"AK.6","Accounting","Accnt","26 Mar 2001",""
"AK.62","Auditing","Auditing","26 Mar 2001",""
"AK.621","Auditing (External)","Auditing (Ext)","26 Mar 2001",""
"AK.623","Internal Auditing","Int Auditing","26 Mar 2001",""
"AK.63","Tax Accounting","Tax Accnt","26 Mar 2001",""
"AK.631","Vat Accounting","Vat Accnt","26 Mar 2001",""
"AK.632","Income Tax Accounting","Income Tax Accnt","26 Mar 2001",""
"AK.633","Corporation Tax Accounting","Corp Tax Accnt","26 Mar 2001",""
"AK.634","Property Tax Accounting","Prop Tax Accnt","26 Mar 2001",""
"AK.635","Inheritance Tax Accounting","Inheritance Tax Accnt","26 Mar 2001",""
"AK.64","Cost / Management Accounting","Cost/ Mngm Accnt","26 Mar 2001",""
"AK.641","Cost Accounting","Cost Accnt","26 Mar 2001",""
"AK.642","Management Accounting","Mngm Accnt","26 Mar 2001",""
"AK.7","Public Finance","Pub Fin","26 Mar 2001",""
"AK.71","Taxation (National) Administration","Taxation (Nat) Admin","26 Mar 2001",""
"AK.72","Taxation (Local) Administration","Taxation (Local) Admin","26 Mar 2001",""
"AK.8","Bookkeeping","Bookkeep","26 Mar 2001",""
"AK.82","Purchase Ledger","Purchase Ledger","26 Mar 2001",""
"AK.83","Sales Ledger","Sales Ledger","26 Mar 2001",""
"AK.85","Payroll (Accounting)","Payroll (Accnt)","26 Mar 2001",""
"AK.9","Cashiers Work","Cashiers Wrk","26 Mar 2001",""
"AK.91","Cash Handling / Collection","Cash Hnd/ Coll","26 Mar 2001",""
"AL.","Financial Services","Fin Svc","26 Mar 2001",""
"AL.2","Banking","Banking","26 Mar 2001",""
"AL.22","Merchant Banking","Merchant Banking","26 Mar 2001",""
"AL.23","International Banking","Int Banking","26 Mar 2001",""
"AL.24","Building Societies","Bldg Soc","26 Mar 2001",""
"AL.25","Credit Unions","Cred Uns","26 Mar 2001",""
"AL.3","Money Stock Securities and Commodity Market Services","Money Stock Sec & Comm Mkt Svc","26 Mar 2001",""
"AL.31","Stock Market Services","Stock Mkt Svc","26 Mar 2001",""
"AL.32","Money Market Services","Money Mkt Svc","26 Mar 2001",""
"AL.33","Foreign Exchange Market Services","Frgn Exch Mkt Svc","26 Mar 2001",""
"AL.34","Commodity Market Services","Comm Mkt Svc","26 Mar 2001",""
"AL.35","Securities Market Services","Sec Mkt Svc","26 Mar 2001",""
"AL.5","Insurance","Ins","26 Mar 2001",""
"AL.51","Actuarial Science","Actuarial Sci","26 Mar 2001",""
"AL.6","Investment Management","Inv Mngm","26 Mar 2001",""
"AL.61","Financial Services Act","Fin Svc Act","26 Mar 2001",""
"AL.62","Pension Fund Management","Pension Fund Mngm","26 Mar 2001",""
"AL.63","Financial Consultancy Practice","Fin Cons Prac","26 Mar 2001",""
"AL.64","Property Investment","Prop Inv","26 Mar 2001",""
"AM.","Call Centres","Call Centres","26 Mar 2001",""
"AM.1","Call Centre Management","Call Centre Mngm","26 Mar 2001",""
"AM.2","Call Centre Skills","Call Centreskl","26 Mar 2001",""
"AY.","Office Skills / Administration","Officeskl/ Admin","26 Mar 2001",""
"AY.4","Office Filing","Office Filing","26 Mar 2001",""
"AY.5","Business Documentation / Record-Keeping","Bus Doc/ Record-Keep","26 Mar 2001",""
"AY.6","Business Correspondence (Clerical Work)","Bus Corr (Clerical Wrk)","26 Mar 2001",""
"AY.7","Reception / Telephone Switchboard Work","Recep/ Tele Switchbrd Wrk","26 Mar 2001",""
"AY.71","Telephonists Work","Telephonists Wrk","26 Mar 2001",""
"AY.72","Reception (Business)","Recep (Bus)","26 Mar 2001",""
"AY.8","Office Technology Skills","Office Techskl","26 Mar 2001",""
"AY.83","Fax / Telex Operation","Fax/ Telex Op","26 Mar 2001",""
"AY.84","Electronic Mail (Office Use)","Elec Mail (Office Use)","26 Mar 2001",""
"AY.85","Office Copying","Office Copying","26 Mar 2001",""
"AZ.","Typewriting / Shorthand / Secretarial Skills","Typw/ Shrth/ Secskl","26 Mar 2001",""
"AZ.1","Secretarial Skills","Secskl","26 Mar 2001",""
"AZ.13","Secretarial / Linguist","Sec/ Linguist","26 Mar 2001",""
"AZ.131","Secretarial / Bilingual","Sec/ Bilingual","26 Mar 2001",""
"AZ.2","Secretarial Skills Specific Occupations","Secskl Spec Occs","26 Mar 2001",""
"AZ.21","Medical Secretarial Work","Medic Sec Wrk","26 Mar 2001",""
"AZ.22","Legal Secretarial Work","Legal Sec Wrk","26 Mar 2001",""
"AZ.3","Personal Assistant Skills","Pers Assskl","26 Mar 2001",""
"AZ.4","Shorthand","Shrth","26 Mar 2001",""
"AZ.41","Shorthand Specific Methods","Shrth Spec Mth","26 Mar 2001",""
"AZ.411","Pitman Shorthand","Pitman Shrth","26 Mar 2001",""
"AZ.412","Speedwriting","Speedwriting","26 Mar 2001",""
"AZ.413","Tee Line Shorthand","Tee Line Shrth","26 Mar 2001",""
"AZ.43","Shorthand Languages Other Than English","Shrth Lang Oth Than Eng","26 Mar 2001",""
"AZ.5","Typewriting / Keyboarding","Typw/ Keybrding","26 Mar 2001",""
"AZ.51","Audiotyping","Audiotyping","26 Mar 2001",""
"AZ.52","Copy Typing","Copy Typing","26 Mar 2001",""
"AZ.53","Shorthand Typing","Shrth Typing","26 Mar 2001",""
"AZ.55","Keyboarding","Keybrding","26 Mar 2001",""
"AZ.7","Data Input Skills","Data Inputskl","26 Mar 2001",""
"B","Sales Marketing and Retailing","Sales Mkting & Rtl","26 Mar 2001",""
"BA.","Marketing / Pr","Mkting/ Pr","26 Mar 2001",""
"BA.1","Marketing","Mkting","26 Mar 2001",""
"BA.12","Marketing For Non Profit Organisations","Mkting For Non Prft Orgs","26 Mar 2001",""
"BA.13","International Marketing","Int Mkting","26 Mar 2001",""
"BA.14","Marketing Planning / Evaluation","Mkting Plan/ Eval","26 Mar 2001",""
"BA.2","Product Management","Prod Mngm","26 Mar 2001",""
"BA.21","Product Development / Diversification (Marketing)","Prod Dev/ Divers (Mkting)","26 Mar 2001",""
"BA.22","Product Research","Prod Res","26 Mar 2001",""
"BA.23","Brand Management","Brand Mngm","26 Mar 2001",""
"BA.24","Pricing","Pricing","26 Mar 2001",""
"BA.3","Customer Service","Cust Svce","26 Mar 2001",""
"BA.31","Customer Complaints","Cust Complaints","26 Mar 2001",""
"BA.4","Franchising","Franchising","26 Mar 2001",""
"BA.5","Market Research","Mkt Res","26 Mar 2001",""
"BA.51","Consumer Studies","Consumer Stud","26 Mar 2001",""
"BA.6","Sales Promotion","Sales Promotion","26 Mar 2001",""
"BA.61","Merchandising","Merchandising","26 Mar 2001",""
"BA.7","Publicity / Public Relations","Pubity/ Pub Relations","26 Mar 2001",""
"BA.71","Publicity","Pubity","26 Mar 2001",""
"BA.72","Advertising","Advrt","26 Mar 2001",""
"BA.73","Exhibitions (Marketing)","Exhibitions (Mkting)","26 Mar 2001",""
"BA.74","Public Relations","Pub Relations","26 Mar 2001",""
"BA.76","Media Relations","Media Relations","26 Mar 2001",""
"BB.","Export / Import / European Sales","Export/ Import/ Euro Sales","26 Mar 2001",""
"BB.1","European Union Sales","Euro Un Sales","26 Mar 2001",""
"BB.2","Exporting","Exporting","26 Mar 2001",""
"BB.21","Export Procedures","Export Procs","26 Mar 2001",""
"BB.22","Export Documentation","Export Doc","26 Mar 2001",""
"BB.221","Letters Of Credit","Letters Of Cred","26 Mar 2001",""
"BB.26","Export Sales","Export Sales","26 Mar 2001",""
"BB.3","Importing","Imprt","26 Mar 2001",""
"BB.31","Customs Procedures / Documentation Importing","Cust Procs/ Doc Imprt","26 Mar 2001",""
"BC.","Retailing / Wholesaling / Distributive Trades","Rtl/ Whlsl/ Dist Trades","26 Mar 2001",""
"BC.1","Distributive Trades","Dist Trades","26 Mar 2001",""
"BC.3","Retailing","Rtl","26 Mar 2001",""
"BC.32","Retail Buying","Retail Buying","26 Mar 2001",""
"BC.34","Retail Sales Management","Retail Sales Mngm","26 Mar 2001",""
"BC.35","Retail Display Design","Retail Display Des","26 Mar 2001",""
"BC.7","Wholesaling","Whlsl","26 Mar 2001",""
"BC.8","Consumer Protection","Consumer Prtct","26 Mar 2001",""
"BC.81","Trading Standards","Trading Stnds","26 Mar 2001",""
"BD.","Retailing Specific Types","Rtl Spec Types","26 Mar 2001",""
"BD.1","Food Retailing","Food Rtl","26 Mar 2001",""
"BD.13","Wine / Spirits Retailing","Wine/ Spirits Rtl","26 Mar 2001",""
"BD.16","Meat Retailing","Meat Rtl","26 Mar 2001",""
"BD.17","Fish Retailing","Fish Rtl","26 Mar 2001",""
"BD.3","Motor Trade Operations (Sales)","Motor Trade Ops (Sales)","26 Mar 2001",""
"BD.33","Vehicle Parts / Accessories (Sales)","Veh Parts/ Acc (Sales)","26 Mar 2001",""
"BD.4","Fashion Retailing","Fash Rtl","26 Mar 2001",""
"BE.","Sales Work","Sales Wrk","26 Mar 2001",""
"BE.2","Sales Management","Sales Mngm","26 Mar 2001",""
"BE.21","Field Sales Management","Field Sales Mngm","26 Mar 2001",""
"BE.3","Sales Techniques","Sales Tech","26 Mar 2001",""
"BE.4","Telesales","Telesales","26 Mar 2001",""
"BF.","E-Commerce","E-Comm","26 Mar 2001",""
"BF.1","E-Business","E-Bus","24 Jan 2005",""
"BF.2","E-Marketing","E-Mkting","24 Jan 2005",""
"BF.3","E-Procurement","E-Proc","24 Jan 2005",""
"C","Information Technology and Information","Info Tech & Info","26 Mar 2001",""
"CA.","Information and Communications Technology (General)","Info & Comms Tech (Gen)","11 Dec 2006",""
"CA.1","Information Technology (General)","Info Tech (Gen)","11 Dec 2006",""
"CA.2","Business Information Technology","Bus Info Tech","11 Dec 2006",""
"CA.3","Computer Appreciation / Introduction","Comp App/ Intro","11 Dec 2006",""
"CA.31","Clait (Computer Literacy and Information Technology)","Clait (Comp Lit & Info Tech)","11 Dec 2006",""
"CA.32","Ecdl (European Computer Driving Licence)","Ecdl (Euro Comp Drv Lic)","11 Dec 2006",""
"CA.33","Computer File Management","Comp File Mngm","11 Dec 2006",""
"CA.34","Personal Computer Use Specific Types","Pers Comp Use Spec Types","11 Dec 2006",""
"CA.341","Apple Macintosh Computers","Apple Macintosh Comps","11 Dec 2006",""
"CB.","Computer Science","Comp Sci","11 Dec 2006",""
"CB.1","Computer Hardware","Comp Hardware","11 Dec 2006",""
"CB.11","Cable Installation","Cable Instal","11 Dec 2006",""
"CB.12","Computer Firmware","Comp Firmware","11 Dec 2006",""
"CB.13","Computer Media","Comp Media","11 Dec 2006",""
"CB.14","Computer Peripherals","Comp Peripherals","11 Dec 2006",""
"CB.141","Digital Cameras","Digital Cameras","11 Dec 2006",""
"CB.142","Modems","Modems","11 Dec 2006",""
"CB.143","Printers","Printers","11 Dec 2006",""
"CB.144","Scanners","Scanners","11 Dec 2006",""
"CB.145","Webcams","Webcams","11 Dec 2006",""
"CB.2","Computer Systems","Comp Sys","11 Dec 2006",""
"CB.21","Computer Architectures","Comp Archs","11 Dec 2006",""
"CB.211","Mainframe Computer Systems","Mfrm Comp Sys","11 Dec 2006",""
"CB.2111","As/400","As/ 400","11 Dec 2006",""
"CB.212","Microcomputer Systems","Microcomp Sys","11 Dec 2006",""
"CB.2121","Building Your Own Pc","Bldg Your Own Pc","11 Dec 2006",""
"CB.2122","Laptop and Notebook Systems","Laptop & Notebook Sys","11 Dec 2006",""
"CB.2123","Personal Digital Assistant (Pda) Systems","Pers Digital Ass (Pda) Sys","11 Dec 2006",""
"CB.213","Server-Based Systems","Srvr-Based Sys","11 Dec 2006",""
"CB.22","Computer Communications and Networking","Comp Comms & Nwrking","11 Dec 2006",""
"CB.221","Computer Network Components","Comp Nwrk Comps","11 Dec 2006",""
"CB.2211","Network Storage","Nwrk Strg","11 Dec 2006",""
"CB.22111","Parallel Sysplex","Parallel Sysplex","11 Dec 2006",""
"CB.2212","Routers Bridges and Switches","Routers Bridges & Switches","11 Dec 2006",""
"CB.222","Local and Wide Area Networks (Lan and Wan)","Local & Wide Area Nwrks (Lan & Wan)","11 Dec 2006",""
"CB.2221","Local Area Networks (Lan)","Local Area Nwrks (Lan)","11 Dec 2006",""
"CB.2222","Wide Area Networks (Wan)","Wide Area Nwrks (Wan)","11 Dec 2006",""
"CB.223","Network and Communications Protocols","Nwrk & Comms Prtcls","11 Dec 2006",""
"CB.2231","Ethernet","Ethernet","11 Dec 2006",""
"CB.2232","Transmission Control Protocol / Internet Protocol (Tcp/Ip)","Trnsm Cont Prtcl/ Web Prtcl (Tcp/ Ip)","11 Dec 2006",""
"CB.2233","X.25","X.25","11 Dec 2006",""
"CB.224","Network Architectures","Nwrk Archs","11 Dec 2006",""
"CB.2241","Distributed Networks","Distributed Nwrks","11 Dec 2006",""
"CB.2242","Frame Relay","Frame Relay","11 Dec 2006",""
"CB.2243","Mobile Computing (Communications and Networking)","Mob Comp (Comms & Nwrking)","11 Dec 2006",""
"CB.2244","Wireless Networks","Wrls Nwrks","11 Dec 2006",""
"CB.22441","Bluetooth Communications and Networking","Bluetooth Comms & Nwrking","11 Dec 2006",""
"CB.225","Open Systems Interconnection (Osi) Reference Model","Open Sys Incon (Osi) Ref Model","11 Dec 2006",""
"CB.226","Remote Access","Remote Acc","11 Dec 2006",""
"CB.23","Real Time Systems","Real Time Sys","11 Dec 2006",""
"CB.3","Computing Methodologies","Comp Mthologies","11 Dec 2006",""
"CB.31","Artificial Intelligence (Ai)","Artificial Intel (Ai)","11 Dec 2006",""
"CB.311","Computer Cybernetics","Comp Cybernetics","11 Dec 2006",""
"CB.312","Expert Systems","Expert Sys","11 Dec 2006",""
"CB.313","Knowledge Management Systems","Knwld Mngm Sys","11 Dec 2006",""
"CB.314","Neural Networks","Neural Nwrks","11 Dec 2006",""
"CB.32","Computer Graphics","Comp Grphs","11 Dec 2006",""
"CB.321","Computer Animation","Comp Animation","11 Dec 2006",""
"CB.3211","Computer Games Design","Comp Games Des","11 Dec 2006",""
"CB.322","Image Processing","Image Prcss","11 Dec 2006",""
"CB.3221","Pattern Recognition","Pattern Rcog","11 Dec 2006",""
"CB.33","Document and Text Processing","Doc & Text Prcss","11 Dec 2006",""
"CB.331","Standard Generalised Markup Language (Sgml)","Stnd Gen Markup Lang (Sgml)","11 Dec 2006",""
"CB.34","Modelling / Simulation Systems","Modelling/ Simulation Sys","11 Dec 2006",""
"CB.341","Modelling Systems","Modelling Sys","11 Dec 2006",""
"CB.342","Simulation Systems","Simulation Sys","11 Dec 2006",""
"CB.35","Multimedia (Computing)","Mmedia (Comp)","11 Dec 2006",""
"CB.36","Sound Processing (Computer)","Sound Prcss (Comp)","11 Dec 2006",""
"CB.361","Speech / Voice Processing (Computer)","Speech/ Voice Prcss (Comp)","11 Dec 2006",""
"CB.362","Screen Reading","Screen Reading","11 Dec 2006",""
"CB.4","Information Systems","Info Sys","11 Dec 2006",""
"CB.41","Business Information Systems","Bus Info Sys","11 Dec 2006",""
"CB.42","Database Management","Dbase Mngm","11 Dec 2006",""
"CB.421","Data Warehousing","Data Whse","11 Dec 2006",""
"CB.422","Database Administration","Dbase Admin","11 Dec 2006",""
"CB.43","Information Management","Info Mngm","11 Dec 2006",""
"CB.431","Indexing and Classification","& Classification","11 Dec 2006",""
"CB.432","Informatics","Informatics","11 Dec 2006",""
"CB.4321","Bioinformatics","Bioinformatics","11 Dec 2006",""
"CB.4322","Geographical Information Systems","Geogrph Info Sys","11 Dec 2006",""
"CB.4323","Health Informatics","Hlth Informatics","11 Dec 2006",""
"CB.433","Information Security","Info Sec","11 Dec 2006",""
"CB.44","Internet Systems","Web Sys","11 Dec 2006",""
"CB.441","Email Systems","Email Sys","11 Dec 2006",""
"CB.442","Internet Protocols","Web Prtcls","11 Dec 2006",""
"CB.4421","Domain Name System (Dns)","Domain Name Sys (Dns)","11 Dec 2006",""
"CB.4422","File Transfer Protocol (Ftp) Services","File Trnsf Prtcl (Ftp) Svc","11 Dec 2006",""
"CB.4423","Simple Mail Transfer Protocol (Smtp)","Simple Mail Trnsf Prtcl (Smtp)","11 Dec 2006",""
"CB.4424","Simple Network Management Protocol (Snmp)","Simple Nwrk Mngm Prtcl (Snmp)","11 Dec 2006",""
"CB.4425","Virtual Private Networks (Vpn)","Virtual Private Nwrks (Vpn)","11 Dec 2006",""
"CB.4426","Voice Over Internet Protocol (Voip)","Voice Over Web Prtcl (Voip)","11 Dec 2006",""
"CB.443","Internet Security Systems","Web Sec Sys","11 Dec 2006",""
"CB.4431","Border Manager (Internet Security System)","Border Mngr (Web Sec Sys)","11 Dec 2006",""
"CB.4432","Firewall-1 (Internet Security System)","Firewall-1 (Web Sec Sys)","11 Dec 2006",""
"CB.4433","Internet Security and Acceleration (Isa) Server (Internet Security System)","Web Sec & Accl (Isa) Srvr (Web Sec Sys)","11 Dec 2006",""
"CB.4434","Proxy Server (Internet Security System)","Proxy Srvr (Web Sec Sys)","11 Dec 2006",""
"CB.444","Web Server Management","Web Srvr Mngm","11 Dec 2006",""
"CB.4441","E-Commerce (Technical)","E-Comm (Tech)","11 Dec 2006",""
"CB.44411","E-Commerce Systems Software","E-Comm Sys Sfwre","11 Dec 2006",""
"CB.4442","Web Server Management Software","Web Srvr Mngm Sfwre","11 Dec 2006",""
"CB.44421","Apache (Web Server Management Software)","Apache (Web Srvr Mngm Sfwre)","11 Dec 2006",""
"CB.44422","Biztalk Server (Web Server Management Software)","Biztalk Srvr (Web Srvr Mngm Sfwre)","11 Dec 2006",""
"CB.44423","Commerce Server (Web Server Management Software)","Comm Srvr (Web Srvr Mngm Sfwre)","11 Dec 2006",""
"CB.44424","Internet Information Server (Web Server Management Software)","Web Info Srvr (Web Srvr Mngm Sfwre)","11 Dec 2006",""
"CB.445","Web Services","Web Svc","11 Dec 2006",""
"CB.4451",".Net",".Net","11 Dec 2006",""
"CB.446","Website Development","Wsite Dev","11 Dec 2006",""
"CB.4461","Active Server Pages (Asp)","Active Srvr Pages (Asp)","11 Dec 2006",""
"CB.4462","Common Gateway Interface (Cgi)","Comm Gateway Intrf (Cgi)","11 Dec 2006",""
"CB.4463","Intranets","Intranets","11 Dec 2006",""
"CB.4464","Markup Languages For Website Development","Markup Lang For Wsite Dev","11 Dec 2006",""
"CB.44641","Extensible Hypertext Markup Language (Xhtml)","Ext Hypertext Markup Lang (Xhtml)","11 Dec 2006",""
"CB.44642","Extensible Markup Language (Xml)","Ext Markup Lang (Xml)","11 Dec 2006",""
"CB.44643","Hypertext Markup Language (Html)","Hypertext Markup Lang (Html)","11 Dec 2006",""
"CB.44644","Wireless Markup Language (Wml)","Wrls Markup Lang (Wml)","11 Dec 2006",""
"CB.4465","Website Development Software","Wsite Dev Sfwre","11 Dec 2006",""
"CB.44651","Website Development Software A-D","Wsite Dev Sfwre A-D","11 Dec 2006",""
"CB.446511","Coldfusion (Website Development Software)","Coldfusion (Wsite Dev Sfwre)","11 Dec 2006",""
"CB.446512","Content Management Server (Web Content Management Software)","Cont Mngm Srvr (Web Cont Mngm Sfwre)","11 Dec 2006",""
"CB.446513","Contribute (Web Content Management Software)","Cont (Web Cont Mngm Sfwre)","11 Dec 2006",""
"CB.446514","Dreamweaver (Website Development Software)","Dreamweaver (Wsite Dev Sfwre)","11 Dec 2006",""
"CB.44652","Website Development Software E-K","Wsite Dev Sfwre E-K","11 Dec 2006",""
"CB.446521","Frontpage (Website Development Software)","Frontpage (Wsite Dev Sfwre)","11 Dec 2006",""
"CB.446522","Golive (Website Development Software)","Golive (Wsite Dev Sfwre)","11 Dec 2006",""
"CB.446523","Hotmetal Pro (Website Development Software)","Hotmetal Pro (Wsite Dev Sfwre)","11 Dec 2006",""
"CB.44653","Website Development Software L-R","Wsite Dev Sfwre L-R","11 Dec 2006",""
"CB.446531","Pagemill (Website Development Software)","Pagemill (Wsite Dev Sfwre)","11 Dec 2006",""
"CB.44654","Website Development Software S-Z","Wsite Dev Sfwre S-Z","11 Dec 2006",""
"CB.4466","Wireless Application Protocol (Wap) Site Development","Wrls App Prtcl (Wap) Site Dev","11 Dec 2006",""
"CB.45","Systems Analysis and Design","Sys Anlys & Des","11 Dec 2006",""
"CB.451","Data Analysis","Data Anlys","11 Dec 2006",""
"CB.452","Requirements Engineering","Requirements Engnr","11 Dec 2006",""
